transaction_id,customer_id,product_category,product_name,quantity,unit_price,transaction_date,payment_method,region,customer_segment,total_amount,discount_eligible,discount_rate,discount_amount,final_amount,customer_name,age,income_level,join_date,loyalty_points,last_purchase_date,customer_value,customer_frequency,avg_order_value,segment,hour_of_day,day_of_week,month,quarter,peak_hour
TXN000001,3780,Home,Phone,6,922.85,2024-01-01 00:00:00,Credit Card,West,Standard,5537.1,True,0.15,830.565,4706.535,Customer_300,26,Medium,2020-10-27,5479,2024-10-27,4706.535,1,4706.535,Standard,0,Monday,1,1,Off-Peak
TXN000002,9016,Home,Book,1,870.73,2024-01-01 01:00:00,Debit Card,East,Premium,870.73,False,0.05,43.536500000000004,827.1935,Customer_839,39,Medium,2022-04-19,8278,2026-04-19,827.1935,1,827.1935,Standard,1,Monday,1,1,Off-Peak
TXN000003,9530,Clothing,Book,7,1559.7,2024-01-01 02:00:00,Cash,South,Standard,10917.9,True,0.15,1637.685,9280.215,Customer_899,59,Medium,2022-06-18,8739,2026-06-18,9280.215,1,9280.215,High Value,2,Monday,1,1,Off-Peak
TXN000004,2136,Clothing,Phone,5,19.86,2024-01-01 03:00:00,Cash,East,Standard,99.3,False,0.05,4.965,94.335,Customer_127,57,Medium,2020-05-07,5457,2024-05-07,94.335,1,94.335,Standard,3,Monday,1,1,Off-Peak
TXN000005,6896,Home,Phone,5,841.69,2024-01-01 04:00:00,Credit Card,West,Standard,4208.450000000001,False,0.05,210.42250000000004,3998.0275000000006,Customer_637,78,Low,2021-09-29,1692,2025-09-29,3998.0275000000006,1,3998.0275000000006,Standard,4,Monday,1,1,Off-Peak
TXN000006,4793,Electronics,Shirt,6,690.4,2024-01-01 05:00:00,PayPal,North,Budget,4142.4,True,0.15,621.3599999999999,3521.04,Customer_412,21,High,2021-02-16,4801,2025-02-16,3521.04,1,3521.04,Standard,5,Monday,1,1,Off-Peak
TXN000007,5787,Books,Shoes,8,41.97,2024-01-01 06:00:00,PayPal,North,Standard,335.76,True,0.15,50.364,285.396,Customer_535,26,High,2021-06-19,7156,2025-06-19,285.396,1,285.396,Standard,6,Monday,1,1,Off-Peak
TXN000008,1371,Books,Shirt,7,403.53,2024-01-01 07:00:00,Credit Card,South,Standard,2824.71,True,0.15,423.7065,2401.0035,Customer_51,24,Medium,2020-02-21,4012,2024-02-21,2401.0035,1,2401.0035,Standard,7,Monday,1,1,Off-Peak
TXN000009,6854,Home,Shirt,9,557.23,2024-01-01 08:00:00,Cash,East,Budget,5015.07,True,0.15,752.2605,4262.809499999999,Customer_629,19,Medium,2021-09-21,5238,2025-09-21,4262.809499999999,1,4262.809499999999,Standard,8,Monday,1,1,Off-Peak
TXN000010,3722,Home,Shirt,2,1139.99,2024-01-01 09:00:00,Cash,South,Premium,2279.98,False,0.05,113.99900000000001,2165.981,Customer_292,23,Low,2020-10-19,4117,2024-10-19,2165.981,1,2165.981,Standard,9,Monday,1,1,Peak
TXN000011,9944,Electronics,Phone,7,1785.06,2024-01-01 10:00:00,Debit Card,North,Premium,12495.42,True,0.15,1874.3129999999999,10621.107,Customer_942,22,Medium,2022-07-31,1390,2026-07-31,10621.107,1,10621.107,High Value,10,Monday,1,1,Peak
TXN000012,1040,Home,Laptop,2,137.57,2024-01-01 11:00:00,Debit Card,East,Budget,275.14,False,0.05,13.757,261.383,Customer_6,75,Low,2020-01-07,2555,2024-01-07,3771.158,2,1885.579,Standard,11,Monday,1,1,Peak
TXN000013,3979,Home,Shirt,8,710.49,2024-01-01 12:00:00,Cash,South,Standard,5683.92,True,0.15,852.588,4831.332,Customer_327,60,Medium,2020-11-23,5178,2024-11-23,4831.332,1,4831.332,Standard,12,Monday,1,1,Off-Peak
TXN000014,6214,Electronics,Phone,3,1238.18,2024-01-01 13:00:00,PayPal,West,Premium,3714.54,False,0.05,185.727,3528.813,Customer_565,72,Medium,2021-07-19,4567,2025-07-19,3528.813,1,3528.813,Standard,13,Monday,1,1,Off-Peak
TXN000015,3936,Books,Shoes,5,550.05,2024-01-01 14:00:00,Credit Card,South,Budget,2750.25,False,0.05,137.51250000000002,2612.7375,Customer_321,77,High,2020-11-17,2319,2024-11-17,2612.7375,1,2612.7375,Standard,14,Monday,1,1,Peak
TXN000016,2750,Sports,Shirt,1,1135.08,2024-01-01 15:00:00,Cash,South,Standard,1135.08,False,0.05,56.754,1078.326,Customer_185,38,Low,2020-07-04,800,2024-07-04,5971.110999999999,2,2985.5554999999995,High Value,15,Monday,1,1,Peak
TXN000017,7728,Electronics,Phone,4,146.35,2024-01-01 16:00:00,PayPal,West,Budget,585.4,False,0.05,29.27,556.13,Customer_725,53,Low,2021-12-26,77,2025-12-26,556.13,1,556.13,Standard,16,Monday,1,1,Peak
TXN000018,9935,Electronics,Shirt,2,927.33,2024-01-01 17:00:00,Cash,East,Budget,1854.66,False,0.05,92.733,1761.9270000000001,Customer_941,39,High,2022-07-30,573,2026-07-30,1761.9270000000001,1,1761.9270000000001,Standard,17,Monday,1,1,Off-Peak
TXN000019,9748,Home,Phone,3,1784.89,2024-01-01 18:00:00,Credit Card,East,Premium,5354.67,False,0.05,267.7335,5086.9365,Customer_924,22,Medium,2022-07-13,8883,2026-07-13,5086.9365,1,5086.9365,High Value,18,Monday,1,1,Off-Peak
TXN000020,5198,Clothing,Book,1,571.42,2024-01-01 19:00:00,Credit Card,North,Standard,571.42,False,0.05,28.570999999999998,542.8489999999999,Customer_465,32,High,2021-04-10,3725,2025-04-10,542.8489999999999,1,542.8489999999999,Standard,19,Monday,1,1,Off-Peak
TXN000021,2702,Books,Shirt,1,882.37,2024-01-01 20:00:00,Debit Card,South,Budget,882.37,False,0.05,44.118500000000004,838.2515,Customer_179,49,Medium,2020-06-28,4515,2024-06-28,838.2515,1,838.2515,Standard,20,Monday,1,1,Off-Peak
TXN000022,1189,Clothing,Shirt,5,1917.4,2024-01-01 21:00:00,Credit Card,West,Budget,9587.0,False,0.05,479.35,9107.65,Customer_21,75,Low,2020-01-22,8038,2024-01-22,10684.84,3,3561.6133333333332,VIP,21,Monday,1,1,Off-Peak
TXN000023,2834,Clothing,Book,2,783.77,2024-01-01 22:00:00,Credit Card,East,Standard,1567.54,False,0.05,78.37700000000001,1489.163,Customer_196,78,High,2020-07-15,7386,2024-07-15,1489.163,1,1489.163,Standard,22,Monday,1,1,Off-Peak
TXN000024,7834,Home,Laptop,3,1083.37,2024-01-01 23:00:00,Debit Card,East,Standard,3250.1099999999997,False,0.05,162.50549999999998,3087.6044999999995,Customer_735,63,Low,2022-01-05,2701,2026-01-05,3087.6044999999995,1,3087.6044999999995,Standard,23,Monday,1,1,Off-Peak
TXN000025,2729,Home,Phone,5,653.69,2024-01-02 00:00:00,Credit Card,East,Premium,3268.4500000000003,False,0.05,163.4225,3105.0275,Customer_183,72,High,2020-07-02,2130,2024-07-02,3105.0275,1,3105.0275,Standard,0,Tuesday,1,1,Off-Peak
TXN000026,7083,Sports,Shirt,6,1132.01,2024-01-02 01:00:00,Debit Card,South,Premium,6792.0599999999995,True,0.15,1018.8089999999999,5773.250999999999,Customer_658,41,High,2021-10-20,7120,2025-10-20,5773.250999999999,1,5773.250999999999,High Value,1,Tuesday,1,1,Off-Peak
TXN000027,6379,Electronics,Book,6,1404.31,2024-01-02 02:00:00,Credit Card,East,Budget,8425.86,True,0.15,1263.8790000000001,7161.981000000001,Customer_578,58,Medium,2021-08-01,3751,2025-08-01,7161.981000000001,1,7161.981000000001,High Value,2,Tuesday,1,1,Off-Peak
TXN000028,9772,Books,Book,5,1166.65,2024-01-02 03:00:00,PayPal,South,Budget,5833.25,False,0.05,291.6625,5541.5875,Customer_925,37,High,2022-07-14,2411,2026-07-14,5541.5875,1,5541.5875,High Value,3,Tuesday,1,1,Off-Peak
TXN000029,7637,Clothing,Laptop,9,452.18,2024-01-02 04:00:00,Cash,South,Budget,4069.62,True,0.15,610.443,3459.1769999999997,Customer_719,70,Medium,2021-12-20,192,2025-12-20,3459.1769999999997,1,3459.1769999999997,Standard,4,Tuesday,1,1,Off-Peak
TXN000030,5517,Books,Phone,5,400.67,2024-01-02 05:00:00,Cash,North,Budget,2003.3500000000001,False,0.05,100.16750000000002,1903.1825000000001,Customer_500,53,Medium,2021-05-15,4939,2025-05-15,1903.1825000000001,1,1903.1825000000001,Standard,5,Tuesday,1,1,Off-Peak
TXN000031,7438,Sports,Laptop,1,1685.03,2024-01-02 06:00:00,Debit Card,South,Budget,1685.03,False,0.05,84.25150000000001,1600.7785,Customer_704,26,High,2021-12-05,1822,2025-12-05,1600.7785,1,1600.7785,Standard,6,Tuesday,1,1,Off-Peak
TXN000032,7167,Books,Phone,2,913.87,2024-01-02 07:00:00,Credit Card,South,Premium,1827.74,False,0.05,91.387,1736.353,Customer_671,73,High,2021-11-02,2740,2025-11-02,1736.353,1,1736.353,Standard,7,Tuesday,1,1,Off-Peak
TXN000033,8614,Books,Shirt,4,254.54,2024-01-02 08:00:00,Credit Card,West,Budget,1018.16,False,0.05,50.908,967.252,Customer_807,34,High,2022-03-18,7716,2026-03-18,967.252,1,967.252,Standard,8,Tuesday,1,1,Off-Peak
TXN000034,8106,Books,Shirt,5,1182.22,2024-01-02 09:00:00,PayPal,South,Premium,5911.1,False,0.05,295.555,5615.545,Customer_759,31,Medium,2022-01-29,9365,2026-01-29,5615.545,1,5615.545,High Value,9,Tuesday,1,1,Peak
TXN000035,1486,Electronics,Laptop,5,1945.02,2024-01-02 10:00:00,Cash,North,Premium,9725.1,False,0.05,486.25500000000005,9238.845000000001,Customer_62,28,Medium,2020-03-03,8986,2024-03-03,9238.845000000001,1,9238.845000000001,High Value,10,Tuesday,1,1,Peak
TXN000036,5107,Books,Phone,3,999.77,2024-01-02 11:00:00,Cash,East,Premium,2999.31,False,0.05,149.9655,2849.3445,Customer_454,41,Low,2021-03-30,62,2025-03-30,2849.3445,1,2849.3445,Standard,11,Tuesday,1,1,Peak
TXN000037,6808,Clothing,Book,6,354.83,2024-01-02 12:00:00,Debit Card,East,Standard,2128.98,True,0.15,319.347,1809.633,Customer_620,72,High,2021-09-12,912,2025-09-12,1809.633,1,1809.633,Standard,12,Tuesday,1,1,Off-Peak
TXN000038,2835,Clothing,Shirt,5,134.09,2024-01-02 13:00:00,Credit Card,South,Budget,670.45,False,0.05,33.5225,636.9275,Customer_197,64,Medium,2020-07-16,9417,2024-07-16,636.9275,1,636.9275,Standard,13,Tuesday,1,1,Off-Peak
TXN000039,7493,Sports,Shirt,6,576.33,2024-01-02 14:00:00,Cash,North,Premium,3457.9800000000005,True,0.15,518.697,2939.2830000000004,Customer_708,75,High,2021-12-09,5708,2025-12-09,8726.303,2,4363.1515,VIP,14,Tuesday,1,1,Peak
TXN000040,1469,Electronics,Phone,5,1215.56,2024-01-02 15:00:00,Cash,North,Standard,6077.799999999999,False,0.05,303.89,5773.909999999999,Customer_60,23,High,2020-03-01,3282,2024-03-01,5773.909999999999,1,5773.909999999999,High Value,15,Tuesday,1,1,Peak
TXN000041,4342,Home,Shoes,1,1092.64,2024-01-02 16:00:00,Debit Card,East,Budget,1092.64,False,0.05,54.632000000000005,1038.008,Customer_367,66,Low,2021-01-02,4711,2025-01-02,1038.008,1,1038.008,Standard,16,Tuesday,1,1,Peak
TXN000042,7603,Clothing,Book,5,269.43,2024-01-02 17:00:00,Cash,North,Standard,1347.15,False,0.05,67.3575,1279.7925,Customer_716,78,High,2021-12-17,930,2025-12-17,1279.7925,1,1279.7925,Standard,17,Tuesday,1,1,Off-Peak
TXN000043,1851,Clothing,Phone,5,1493.22,2024-01-02 18:00:00,Cash,South,Premium,7466.1,False,0.05,373.30500000000006,7092.795,Customer_93,79,High,2020-04-03,6005,2024-04-03,17720.515,2,8860.2575,VIP,18,Tuesday,1,1,Off-Peak
TXN000044,1334,Sports,Shirt,3,681.23,2024-01-02 19:00:00,Cash,South,Premium,2043.69,False,0.05,102.18450000000001,1941.5055,Customer_46,42,Medium,2020-02-16,8764,2024-02-16,1941.5055,1,1941.5055,Standard,19,Tuesday,1,1,Off-Peak
TXN000045,2908,Books,Phone,8,239.14,2024-01-02 20:00:00,Debit Card,North,Budget,1913.12,True,0.15,286.96799999999996,1626.152,Customer_203,58,Medium,2020-07-22,842,2024-07-22,1626.152,1,1626.152,Standard,20,Tuesday,1,1,Off-Peak
TXN000046,5505,Home,Book,5,1892.53,2024-01-02 21:00:00,Debit Card,West,Budget,9462.65,False,0.05,473.1325,8989.5175,Customer_498,54,High,2021-05-13,4667,2025-05-13,14938.275,2,7469.1375,VIP,21,Tuesday,1,1,Off-Peak
TXN000047,3535,Books,Book,8,356.18,2024-01-02 22:00:00,PayPal,South,Premium,2849.44,True,0.15,427.416,2422.024,Customer_262,72,High,2020-09-19,168,2024-09-19,2422.024,1,2422.024,Standard,22,Tuesday,1,1,Off-Peak
TXN000048,6853,Electronics,Book,3,817.73,2024-01-02 23:00:00,Credit Card,North,Standard,2453.19,False,0.05,122.65950000000001,2330.5305,Customer_628,68,Medium,2021-09-20,3239,2025-09-20,2330.5305,1,2330.5305,Standard,23,Tuesday,1,1,Off-Peak
TXN000049,8440,Electronics,Shoes,7,1699.4,2024-01-03 00:00:00,Debit Card,North,Standard,11895.800000000001,True,0.15,1784.3700000000001,10111.43,Customer_787,22,Low,2022-02-26,8678,2026-02-26,10111.43,1,10111.43,High Value,0,Wednesday,1,1,Off-Peak
TXN000050,8405,Home,Laptop,4,1595.2,2024-01-03 01:00:00,Cash,North,Budget,6380.8,False,0.05,319.04,6061.76,Customer_783,64,High,2022-02-22,7684,2026-02-22,6061.76,1,6061.76,High Value,1,Wednesday,1,1,Off-Peak
